"0",NULL,NULL,"7"
"1",NULL,NULL,"1"
"2",NULL,NULL,"7"
"3",NULL,NULL,"1"
"4",NULL,NULL,"6"
"5",NULL,NULL,"7"
"6",NULL,NULL,"8"
"7",NULL,NULL,"13"
"8",NULL,NULL,"6"
"9",NULL,NULL,"1"
"10",NULL,NULL,"3"
"11",NULL,NULL,"6"
"12",NULL,NULL,"4"
"13",NULL,NULL,"6"
"14",NULL,NULL,"4"
"15",NULL,NULL,"2"
"16",NULL,NULL,"3"
"17",NULL,NULL,"4"
"18",NULL,NULL,"8"
"19",NULL,NULL,"1"
"20",NULL,NULL,"1"
"21",NULL,NULL,"1"
"22",NULL,NULL,"7"
"23",NULL,NULL,"7"
"24",NULL,NULL,"1"
"25",NULL,NULL,"1"
"26",NULL,NULL,"11"
"27",NULL,NULL,"8"
"28",NULL,NULL,"4"
"29",NULL,NULL,"5"
"30",NULL,NULL,"1"
"31",NULL,NULL,"4"
"32",NULL,NULL,"2"
"33",NULL,NULL,"11"
"34",NULL,NULL,"3"
"35",NULL,NULL,"5"
"36",NULL,NULL,"3"
"37",NULL,NULL,"3"
"38",NULL,NULL,"2"
"39",NULL,NULL,"2"
"40",NULL,NULL,"11"
"41",NULL,NULL,"1"
"42",NULL,NULL,"4"
"43",NULL,NULL,"2"
"44",NULL,NULL,"6"
"45",NULL,NULL,"9"
"46",NULL,NULL,"9"
"47",NULL,NULL,"6"
"48",NULL,NULL,"7"
"49",NULL,NULL,"2"
"50",NULL,NULL,"1"
"51",NULL,NULL,"1"
"52",NULL,NULL,"0"
"53",NULL,NULL,"0"
"54",NULL,NULL,"0"
"55",NULL,NULL,"0"
"56",NULL,NULL,"0"
"57",NULL,NULL,"0"
"58",NULL,NULL,"0"
"59",NULL,NULL,"0"
"60",NULL,NULL,"0"
"61",NULL,NULL,"0"
"62",NULL,NULL,"0"
"63",NULL,NULL,"0"
"64",NULL,NULL,"0"
"65",NULL,NULL,"0"
"66",NULL,NULL,"0"
"67",NULL,NULL,"0"
"68",NULL,NULL,"0"
"69",NULL,NULL,"0"
"70",NULL,NULL,"0"
"71",NULL,NULL,"0"
"72",NULL,NULL,"0"
"73",NULL,NULL,"0"
"74",NULL,NULL,"0"
"75",NULL,NULL,"0"
"76",NULL,NULL,"0"
"77",NULL,NULL,"6"
"78",NULL,NULL,"1"
"79",NULL,NULL,"2"
"80",NULL,NULL,"2"
"81",NULL,NULL,"11"
"82",NULL,NULL,"6"
"83",NULL,NULL,"6"
"84",NULL,NULL,"9"
"85",NULL,NULL,"8"
"86",NULL,NULL,"2"
"87",NULL,NULL,"2"
"88",NULL,NULL,"5"
"89",NULL,NULL,"3"
"90",NULL,NULL,"3"
"91",NULL,NULL,"11"
"92",NULL,NULL,"7"
"93",NULL,"1","14"
"94",NULL,NULL,"1"
"95",NULL,NULL,"8"
"96",NULL,NULL,"9"
"97",NULL,NULL,"2"
"98",NULL,NULL,"9"
"99",NULL,NULL,"3"
"100",NULL,NULL,"8"
"101",NULL,NULL,"11"
"102",NULL,NULL,"2"
"103",NULL,NULL,"0"
"104",NULL,NULL,"0"
"105",NULL,NULL,"0"
"106",NULL,NULL,"0"
"107",NULL,NULL,"0"
"108",NULL,NULL,"0"
"109",NULL,NULL,"1"
"110",NULL,NULL,"0"
"111",NULL,NULL,"0"
"112",NULL,NULL,"0"
"113",NULL,NULL,"0"
"114",NULL,NULL,"0"
"115",NULL,NULL,"0"
"116",NULL,NULL,"0"
"117",NULL,NULL,"0"
"118",NULL,NULL,"0"
"119",NULL,NULL,"0"
"120",NULL,NULL,"0"
"121",NULL,NULL,"0"
"122",NULL,NULL,"0"
"123",NULL,NULL,"0"
"124",NULL,NULL,"0"
"125",NULL,NULL,"0"
"126",NULL,NULL,"0"
"127",NULL,NULL,"0"
"128",NULL,NULL,"0"
"129",NULL,NULL,"7"
"130",NULL,NULL,"1"
"131",NULL,NULL,"10"
"132",NULL,NULL,"5"
"133",NULL,NULL,"1"
"134",NULL,NULL,"3"
"135","Y",NULL,"10"
"136",NULL,NULL,"12"
"137",NULL,NULL,"9"
"138",NULL,NULL,"3"
"139",NULL,NULL,"12"
"140",NULL,NULL,"7"
"141",NULL,NULL,"6"
"142",NULL,NULL,"1"
"143",NULL,NULL,"6"
"144",NULL,NULL,"3"
"145",NULL,NULL,"9"
"146",NULL,NULL,"1"
"147",NULL,NULL,"5"
"148",NULL,NULL,"2"
"149",NULL,NULL,"3"
"150",NULL,NULL,"1"
"151",NULL,NULL,"1"
"152",NULL,NULL,"4"
"153",NULL,NULL,"7"
"154",NULL,NULL,"3"
